Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,1,21,20,13,5,700,625,24.31875,95183,538.60114
2015,1,21,20,13,46,707,634,24.549999,95178,538.95251
2015,1,21,20,14,23,704,631,24.88125,95174,538.68829
2015,1,21,20,15,29,709,629,25.262501,95170,538.95251
2015,1,21,20,15,57,704,620,25.487499,95172,539.47571
2015,1,21,20,16,22,646,622,25.725,95186,539.21411
2015,1,21,20,16,47,707,627,26,95174,539.91431
2015,1,21,20,21,30,605,602,27.50625,95161,540.6145
2015,1,21,20,21,58,492,597,27.606251,95158,540.00153
2015,1,21,20,22,33,682,601,27.799999,95164,540.70172
2015,1,21,20,23,11,690,602,28.00625,95166,540.52734
2015,1,21,20,24,18,695,600,28.34375,95159,540.08868
2015,1,22,13,45,55,562,521,22.85,95302,528.88812
2015,1,22,15,9,58,541,495,27.0375,95128,543.50519
2015,1,22,15,10,34,523,516,27.174999,95129,543.33081
2015,1,22,15,11,0,428,503,27.2875,95122,543.67957
2015,1,22,15,25,4,180,404,27.4375,95110,544.7312
2015,1,22,15,25,33,625,518,27.456249,95107,545.08258
2015,1,22,15,26,6,632,503,27.5625,95116,544.81836
2015,1,22,15,39,58,664,561,27.6875,95114,545.34418
2015,1,22,15,40,28,516,491,27.737499,95113,545.1698
2015,1,22,15,40,55,656,523,27.8125,95108,545.34418
2015,1,22,15,55,1,663,539,27.950001,95099,546.04437
2015,1,22,15,55,28,449,560,27.987499,95112,545.78284
2015,1,22,15,55,54,653,462,28.06875,95104,545.1698
2015,1,22,16,9,58,678,523,28.19375,95098,545.78284
2015,1,22,16,10,24,569,596,28.237499,95097,546.57019
2015,1,22,16,10,52,659,548,28.35,95108,546.39581
2015,1,22,16,24,58,443,636,28.61875,95083,546.66003
2015,1,22,16,25,24,708,624,28.6625,95079,546.92163
2015,1,22,16,25,56,152,524,28.762501,95076,547.27307
2015,1,22,16,39,58,716,610,29.393749,95079,549.19928
2015,1,22,16,40,25,465,624,29.40625,95070,547.44745
2015,1,22,16,40,51,564,652,29.44375,95075,548.67346
2015,1,22,16,55,26,763,688,30.706249,95059,549.4635
2015,1,22,16,55,55,747,652,30.706249,95066,549.0249
2015,1,22,16,56,20,744,666,30.706249,95059,548.93768
2015,1,22,17,13,32,765,631,29.46875,95040,550.25092
2015,1,22,17,13,57,702,669,29.487499,95041,551.47955
2015,1,22,17,14,23,708,684,29.549999,95045,550.42792
2015,1,22,17,15,10,678,637,29.69375,95035,551.56677
2015,1,22,17,25,8,430,686,29.59375,95019,551.91815
2015,1,22,17,25,33,756,667,29.625,95030,552.17975
2015,1,22,17,26,1,751,687,29.7125,95023,552.44397
2015,1,22,17,40,19,746,693,29.65,95009,553.84705
2015,1,22,17,40,49,761,655,29.674999,95021,553.05701
2015,1,22,17,41,16,763,438,29.75,95009,554.46002
2015,1,22,17,55,12,517,673,29.38125,94996,554.72424
2015,1,22,17,55,38,693,699,29.4125,94997,554.81146
2015,1,22,17,56,7,691,704,29.49375,94995,555.25006
2015,1,22,17,57,21,770,707,29.7875,94996,555.07306
2015,1,22,18,10,17,589,700,29.71875,94976,555.95026
2015,1,22,18,10,42,629,444,29.74375,94976,556.65314
2015,1,22,18,11,25,764,703,29.81875,94973,556.47607
2015,1,22,18,25,2,755,665,29.46875,94971,556.82751
2015,1,22,18,25,27,756,692,29.487499,94967,557.26611
2015,1,22,18,25,55,590,652,29.549999,94970,556.3017
2015,1,22,18,40,2,572,690,29.00625,94969,557.35333
2015,1,22,18,40,28,691,689,29.05625,94965,557.61755
2015,1,22,18,40,54,741,691,29.125,94967,558.31775
2015,1,22,18,41,20,514,684,29.237499,94955,558.40759
2015,1,22,18,41,58,765,685,29.4,94964,557.70477
2015,1,22,18,55,37,726,686,29.112499,94960,559.28485
2015,1,22,18,56,1,754,658,29.143749,94961,558.31775
2015,1,22,18,56,25,772,691,29.18125,94939,560.0722
2015,1,22,18,57,1,773,689,29.3125,94959,558.58197
2015,1,23,18,34,56,629,706,25.59375,95085,547.27307
2015,1,26,14,20,25,618,544,31.025,94969,557.09174
2015,1,26,14,20,52,617,649,31.362499,94970,556.56592
2015,1,26,14,21,33,585,574,31.75625,94972,557.87915
2015,1,26,14,22,16,620,642,32.075001,94965,557.96899
2015,1,27,16,26,23,623,660,26.674999,94707,580.53662
2015,1,27,16,26,50,614,691,26.7875,94714,579.83118
2015,1,27,16,27,15,625,631,26.90625,94705,580.44678
2015,1,27,16,41,30,631,732,29.09375,94716,579.04114
2015,1,27,16,42,9,85,729,29.1875,94718,579.56958
2015,1,27,16,42,37,642,661,29.28125,94720,580.18524
2015,1,27,16,43,3,640,730,29.393749,94717,579.83118
2015,1,27,16,56,35,604,734,30.25625,94717,579.39252
2015,1,27,16,57,6,630,742,30.34375,94725,578.42548
2015,1,27,16,57,35,643,693,30.4625,94719,579.1283
2015,1,27,16,58,0,655,715,30.575001,94720,579.30536
2015,1,27,17,11,26,651,753,31.2125,94708,579.30536
2015,1,27,17,11,50,654,747,31.21875,94713,580.18524
2015,1,27,17,12,14,659,750,31.25,94715,579.47974
2015,1,27,17,26,32,662,769,30.94375,94712,580.2724
2015,1,27,17,26,57,665,772,30.975,94712,579.30536
2015,1,27,17,27,27,659,488,31.018749,94710,580.0954
2015,1,27,17,41,33,669,734,31.4125,94690,582.1167
2015,1,27,17,41,59,600,689,31.418751,94691,581.76532
2015,1,27,17,42,35,664,742,31.49375,94707,581.32666
2015,1,27,17,43,7,667,773,31.581249,94700,581.50372
2015,1,27,17,56,44,677,787,31.581249,94708,580.18524
2015,1,27,17,57,15,682,791,31.612499,94697,580.88806
2015,1,27,17,57,41,610,787,31.65625,94699,581.94232
2015,1,27,18,12,47,681,790,31.69375,94711,580.88806
2015,1,27,18,13,13,683,783,31.737499,94710,581.06244
2015,1,27,18,13,41,588,537,31.793751,94698,581.50372
2015,1,27,18,14,10,674,789,31.875,94700,582.1167
2015,1,27,18,27,36,672,766,31.9375,94690,582.02954
2015,1,27,18,28,1,641,506,31.9625,94682,582.1167
2015,1,27,18,28,26,673,779,32,94688,581.94232
2015,1,27,18,28,52,577,774,32.03125,94681,582.6452
2015,1,27,18,29,26,653,772,32.106251,94685,582.73236
2015,1,28,1,46,51,0,6,26.81875,94577,592.05695
2015,1,28,12,52,51,527,462,27.81875,93369,697.5022
2015,1,28,12,53,16,474,463,27.887501,93376,697.94611
2015,1,28,12,53,51,525,478,27.956249,93374,698.4798
2015,1,28,13,8,47,525,483,29.2125,93391,697.5022
2015,1,28,13,9,15,534,499,29.25625,93380,696.79138
2015,1,28,13,9,42,528,499,29.31875,93386,697.14545
2015,1,28,13,24,51,548,517,28.762501,93387,698.39001
2015,1,28,13,25,15,549,539,28.8125,93382,698.03595
2015,1,28,13,25,37,549,525,28.86875,93368,698.12311
2015,1,28,13,40,12,549,544,30.21875,93366,698.39001
2015,1,28,13,40,45,481,436,30.30625,93377,697.76904
2015,1,28,13,41,24,434,548,30.4125,93367,699.10077
2015,1,28,13,42,0,560,550,30.575001,93379,697.94611
2015,1,28,13,53,36,551,564,30.725,93364,698.7467
2015,1,28,13,53,59,351,557,30.75,93363,699.36761
2015,1,28,13,54,25,558,566,30.8125,93364,698.03595
2015,1,28,14,8,41,581,587,31.637501,93358,699.28046
2015,1,28,14,9,5,580,594,31.668751,93358,699.36761
2015,1,28,14,9,29,580,550,31.737499,93359,699.45746
2015,1,28,14,24,28,576,519,32.90625,93362,699.63452
2015,1,28,14,24,55,441,372,32.9375,93355,699.90137
2015,1,28,14,25,20,575,590,32.956249,93355,700.25806
2015,1,28,14,25,46,582,596,32.993752,93348,700.08105
2015,1,28,14,39,29,545,615,33.9375,93349,700.43512
2015,1,28,14,39,58,595,604,33.956249,93360,698.92371
2015,1,28,14,40,22,588,503,34.006248,93363,699.63452
2015,1,28,14,40,51,565,638,34.049999,93358,699.45746
2015,1,28,14,41,20,619,640,34.125,93356,699.7243
2015,1,28,14,54,31,595,634,34.424999,93383,697.94611
2015,1,28,14,54,58,590,631,34.424999,93378,698.03595
2015,1,28,14,55,28,628,640,34.4375,93378,697.58936
2015,1,28,14,55,57,636,647,34.474998,93384,697.5022
2015,1,28,15,8,47,499,631,36.568748,93368,699.10077
2015,1,28,15,9,12,157,655,36.631248,93361,699.36761
2015,1,28,15,9,40,630,675,36.706249,93376,699.28046
2015,1,28,15,10,9,584,681,36.756248,93373,699.01355
2015,1,28,15,10,47,657,699,36.793751,93371,699.01355
2015,1,28,15,11,23,671,637,36.793751,93366,698.92371
2015,1,28,15,24,3,615,668,36.631248,93373,697.94611
2015,1,28,15,24,35,596,701,36.631248,93375,699.10077
2015,1,28,15,25,4,682,722,36.599998,93379,697.41235
2015,1,28,15,25,29,398,757,36.599998,93383,697.85626
2015,1,28,15,26,8,774,772,36.575001,93377,698.39001
2015,1,28,16,21,42,639,819,32.349998,91532,862.2453
