Year,Month,Day,Hour,Minute,Second,MeanSens1[V],MeanSens2[V],VarSens1[V],VarSens2[V],Temperature[Â°C],Pressure[Pa],Altitude[m]
2000,1,1,0,0,5,1.33333340,0.00000000,1.33333340,0.00000000,19.75000000,94720.00000000,578.42548000
2000,1,1,0,0,23,0.66666669,0.00000000,0.33333334,0.00000000,19.92499900,94711.00000000,578.95392000
2000,1,1,0,0,40,0.33333334,0.00000000,0.33333331,0.00000000,20.06875000,94712.00000000,580.00818000
2000,1,1,0,0,55,3.33333330,1.00000000,0.33333331,0.00000000,20.28750000,94717.00000000,579.65674000
2000,1,1,0,1,7,0.00000000,0.00000000,0.00000000,0.00000000,20.47500000,94720.00000000,579.92102000
2000,1,1,0,2,20,1.00000000,0.00000000,0.00000000,0.00000000,21.76874900,94716.00000000,579.65674000
2000,1,1,0,2,33,0.66666669,0.00000000,1.33333330,0.00000000,21.90000000,94709.00000000,580.09540000
2000,1,1,0,2,46,0.00000000,0.00000000,0.00000000,0.00000000,22.08124900,94721.00000000,580.53662000
2000,1,1,0,2,58,0.00000000,0.00000000,0.00000000,0.00000000,22.28125000,94706.00000000,580.27240000
2000,1,1,0,3,10,4.66666650,0.00000000,0.33333334,0.00000000,22.50000000,94709.00000000,579.92102000
2000,1,1,0,3,25,1.33333340,0.00000000,1.33333340,0.00000000,22.72500000,94711.00000000,580.44678000
